Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Color (product.metafields.shopify.color-pattern),Gravel/Substrate material (product.metafields.shopify.gravel-substrate-material),Suitable for fish type (product.metafields.shopify.suitable-for-fish-type),Suitable for water type (product.metafields.shopify.suitable-for-water-type),Suitable space (product.metafields.shopify.suitable-space),Sunlight (product.metafields.shopify.sunlight),Theme (product.metafields.shopify.theme),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
ruby-red-goniopora,Ruby Red Goniopora,"Introduce vibrant color and dynamic movement to your reef with this stunning Ruby Red Goniopora. This LPS coral features deep crimson polyps that extend gracefully to create a mesmerizing display. Goniopora thrives in moderate lighting and flow, making it an excellent choice for established aquariums. Feed regularly with small food particles and maintain stable water parameters for optimal health and coloration. A captivating centerpiece that brings life and elegance to any marine setup.",Cfcorals,Animals & Pet Supplies > Pet Supplies,LPS coral,"",true,Title,Default Title,,,,,,,,C1185,5.669904625,shopify,1,deny,manual,149.00,159.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0648/9338/6825/files/RubyredGoniopora.jpg?v=1773126831,1,Ruby Red Goniopora,false,Ruby Red Goniopora - Cfcorals,"Introduce vibrant color and dynamic movement to your reef with this stunning Ruby Red Goniopora. This LPS coral features deep crimson polyps that extend gracefully to create a mesmerizing display. Goniopora thrives in moderate lighting and flow, making it an excellent choice for established aquariums. Feed regularly with small food particles and maintain stable water parameters for optimal health and coloration. A captivating centerpiece that brings life and elegance to any marine setup. - Cfcorals",2,,,,,,,,,,,,multicolor,coral,marine-fish,saltwater,indoors,full-sun,sea-ocean; beach; nature,,oz,,119.00,active
tc-grasshopper-goniopora,TC Grasshopper Goniopora *,"The TC Grasshopper Goniopora is a striking coral specimen featuring vibrant green coloration with distinctive grasshopper-like patterning throughout its polyps. This Goniopora variety thrives in moderate lighting and water flow conditions, making it suitable for intermediate reef aquarists. Known for its hardy nature and attractive appearance, it adds dynamic movement and visual interest to any established aquarium. Requires stable water parameters and regular feeding to maintain optimal health and coloration.",The Fish Tank,Animals & Pet Supplies > Pet Supplies,LPS coral,"",true,Title,Default Title,,,,,,,,T1075,5.669904625,shopify,1,continue,manual,79.00,89.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0648/9338/6825/files/TCGrasshopperGoniopora_44be309b-02d6-425d-91e3-17f357d40836.jpg?v=1773126784,1,TC Grasshopper Goniopora *,false,TC Grasshopper Goniopora * - Cfcorals,"The TC Grasshopper Goniopora is a striking coral specimen featuring vibrant green coloration with distinctive grasshopper-like patterning throughout its polyps. This Goniopora variety thrives in moderate lighting and water flow conditions, making it suitable for intermediate reef aquarists. Known for its hardy nature and attractive appearance, it adds dynamic movement and visual interest to any established aquarium. Requires stable water parameters and regular feeding to maintain optimal health and coloration. - Cfcorals",2,,,,,,,,,,,,multicolor,coral,marine-fish,saltwater,indoors,full-sun,nature; beach; sea-ocean,,oz,,40.00,active
arc-proximo-acro-coral,ARC Proximo Acro Coral,"<h2>Discover the Beauty and Benefits of ARC Proximo Acro Coral</h2><p>The <strong>ARC Proximo Acro Coral</strong> is a stunning addition to any reef aquarium, offering both aesthetic charm and ecological benefits. This carefully curated coral species thrives in various aquarium conditions, making it a favorite among aquarists and marine enthusiasts alike. Whether you're a seasoned reef keeper or new to the hobby, the Proximo Acro Coral is perfect for enhancing your underwater landscape.</p><h3>Why Choose ARC Proximo Acro Coral?</h3><p>The <strong>ARC Proximo Acro Coral</strong> isn't just visually captivating; it brings numerous advantages to your aquarium. Here are some of the benefits that make this coral a must-have:</p><ul>
<li>
<strong>Vibrant Colors:</strong> The Proximo Acro Coral showcases a breathtaking array of colors, from deep greens to bright blues, ensuring your aquarium stands out.</li>
<li>
<strong>Easy Care:</strong> Known for its resilience, this coral is suitable for aquarists of all experience levels, requiring minimal maintenance.</li>
<li>
<strong>Eco-Friendly:</strong> By introducing the Proximo Acro Coral to your tank, you contribute positively to marine ecosystems, promoting biodiversity.</li>
<li>
<strong>Coral Growth:</strong> This species promotes a healthy reef environment, supporting various marine life and enhancing water quality.</li>
</ul><h3>Features of ARC Proximo Acro Coral</h3><p>The <strong>ARC Proximo Acro Coral</strong> stands out due to its unique characteristics that cater to both aesthetics and the health of your aquarium:</p><ul>
<li>
<strong>Adaptability:</strong> Thrives in a range of water parameters, making it easy to integrate into existing setups.</li>
<li>
<strong>Fast Growth Rate:</strong> With proper care, you can enjoy significant growth, adding layers of beauty to your reef.</li>
<li>
<strong>Captivating Structure:</strong> Its branching form adds depth and interest to your substrate, mimicking natural coral formations.</li>
<li>
<strong>Safe for Fish:</strong> The Proximo Acro Coral is non-aggressive, ensuring a harmonious environment for all reef inhabitants.</li>
</ul><h3>Care Instructions</h3><p>To maximize the health and vibrancy of your <strong>ARC Proximo Acro Coral</strong>, consider the following care tips:</p><ul>
<li>
<strong>Lighting:</strong> It flourishes under moderate to high light conditions. LED lighting is a great option.</li>
<li>
<strong>Water Flow:</strong> Moderate water movement is ideal, simulating its natural habitat and encouraging growth.</li>
<li>
<strong>Feeding:</strong> While it derives nutrients from light, supplementing with coral foods can enhance growth and color.</li>
<li>
<strong>Water Quality:</strong> Regular testing and maintenance of water parameters will ensure the coral's longevity and health.</li>
</ul>",Cfcorals,Animals & Pet Supplies > Pet Supplies,SPS coral,"",false,Title,Default Title,,,,,,,,,5.669904625,shopify,0,deny,manual,59.00,69.00,true,true,,,,,"",,,,false,ARC Proximo Acro Coral - Premium Acropora for Vibrant Aquariums,"The ARC Proximo Acro Coral delivers vibrant coloration and dynamic polyp extension, making it an excellent choice for established reef aquariums. This acropora thrives under moderate to high lighting and strong water flow, rewarding attentive hobbyists with impressive growth rates and stunning visual appeal. Ideal for intermediate to advanced aquarists seeking a reliable, visually striking addition to their SPS collection. - Cfcorals",2,,,,,,,,,,,,multicolor,coral,marine-fish,saltwater,indoors,full-sun,nature; beach; sea-ocean,,oz,,22.50,draft
ecc-rainbow-loom-acro-coral,ECC Rainbow Loom Acro Coral,"<p>ECC Rainbow Loom Acro Coral is a vibrant, branching coral specimen prized by advanced aquarists for its striking rainbow coloration and intricate acropora structure. This SPS (small polyp stony) coral thrives in high-light, high-flow environments and demands stable water parameters including calcium, alkalinity, and magnesium levels. Its delicate polyps extend during optimal conditions, creating a dynamic display. Ideal for established reef tanks with proven husbandry experience. Requires consistent water quality and supplemental feeding for sustained growth and color intensity.</p>",Cfcorals,Animals & Pet Supplies > Pet Supplies,SPS coral,Acro Coral,false,Title,Default Title,,,,,,,,C1159,5.669904625,shopify,1,deny,manual,49.00,59.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0648/9338/6825/files/Rainbowloom_584c41bd-a64d-4f0a-a60a-f4c56baf5bee.jpg?v=1769295127,1,"",false,ECC Rainbow Loom Acro Coral - Bright and Creative Crafting Fun,"Discover the vibrant ECC Rainbow Loom Acro Coral! Perfect for creative projects, this versatile loom offers endless possibilities. Elevate your crafting experience today!",2,,,,,,,,,,,,multicolor,coral,marine-fish,saltwater,indoors,full-sun,sea-ocean; beach; nature,,oz,,18.75,draft
miyagi-tort-acro-coral,Miyagi Tort Acro Coral,"<h2>Miyagi Tort Acro Coral: A Vibrant Addition to Your Aquatic Paradise</h2><p>The <strong>Miyagi Tort Acro Coral</strong> is a stunning reef-building coral that is sure to be a centerpiece in any saltwater aquarium. Known for its vibrant colors and unique growth patterns, this coral not only enhances the aesthetic appeal of your marine habitat but also promotes a healthy ecosystem. Closely related to the Acropora family, the Miyagi Tort Acro Coral is revered by aquarists for its resilience and compatibility with a variety of tank mates.</p><h3>Why Choose Miyagi Tort Acro Coral?</h3><p>As a marine enthusiast, selecting the right coral for your aquarium is crucial. The Miyagi Tort Acro Coral offers a range of benefits that make it a favored choice among reef keepers:</p><ul>
<li>
<strong>Vibrant Coloration:</strong> The Miyagi Tort Acro Coral is renowned for its rich colors, which can range from deep blues and greens to vibrant purples and pinks. This stunning color palette makes it a captivating addition to any aquarium.</li>
<li>
<strong>Easy to Care For:</strong> Ideal for both beginner and experienced aquarists, this coral has a reputation for being hardy and adaptable, making it perfect for various tank setups.</li>
<li>
<strong>Promotes Biodiversity:</strong> By introducing the Miyagi Tort Acro Coral into your aquarium, you support a diverse ecosystem that benefits fish and other marine organisms.</li>
<li>
<strong>Fast Growth Rate:</strong> This coral has a relatively fast growth rate, allowing you to see its beauty flourish quickly once it’s established in your tank.</li>
</ul><h3>Features of the Miyagi Tort Acro Coral</h3><p>The Miyagi Tort Acro Coral boasts several features that make it stand out:</p><ul>
<li>
<strong>Origin:</strong> Sourced from the reefs of Miyagi, Japan, this coral brings authentic marine beauty to your aquarium.</li>
<li>
<strong>Reef-Safe:</strong> This coral is compatible with a wide variety of marine life, ensuring peaceful cohabitation.</li>
<li>
<strong>Light Requirements:</strong> Prefers moderate to high lighting, making it ideal for LED setups and T5 lighting systems.</li>
<li>
<strong>Water Flow:</strong> Thrives in moderate to strong water flow, mimicking its natural ocean habitat.</li>
</ul><h3>Care and Maintenance</h3><p>To ensure the health and longevity of your Miyagi Tort Acro Coral, follow these care tips:</p><p><strong>Lighting:</strong> This coral requires moderate to high lighting conditions. It's best to use high-quality LED lights or T5 fixtures to provide the necessary spectrum for photosynthesis. Position it higher in the aquarium to maximize its exposure.</p><p><strong>Water Quality:</strong> Maintaining excellent water quality is critical. Ensure proper filtration and perform regular water changes to keep nitrate levels low. Salinity should be kept between 1.024 and 1.026, with a pH around 8.1 to 8.4.</p><p><strong>Feeding:</strong> While the Miyagi Tort Acro Coral primarily relies on photosynthesis, you can enhance its growth by providing supplemental feeding. Consider coral foods rich in amino acids and other vital nutrients.</p><p><strong>Fragging:</strong> If you wish to propagate your Miyagi Tort Acro Coral, ensure you have proper tools for fragging. Allow the frag to heal before introducing it back into the aquarium to prevent stress and potential infections.</p>",Cfcorals,Animals & Pet Supplies > Pet Supplies,SPS coral,"Acropora Coral, Miyagi Tort Acro Coral, Reef Tank Coral, SPS Coral",false,Title,Default Title,,,,,,,,C1161,5.669904625,shopify,1,deny,manual,39.00,45.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0648/9338/6825/files/Myagitort.jpg?v=1769294962,1,"",false,Miyagi Tort Acro Coral - Stunning Coral for Your Reef Aquarium,"Discover the stunning Miyagi Tort Acro Coral, perfect for creating vibrant marine ecosystems. Enhance your aquarium with this unique coral that offers beauty and resilience.",2,,,,,,,,,,,,multicolor,coral,marine-fish,saltwater,indoors,full-sun,sea-ocean; beach; nature,,oz,,15.00,draft
ecc-fruitopia-zoa-coral,ECC Fruitopia Zoa Coral,"<h2>Discover the Vibrant Beauty of ECC Fruitopia Zoa Coral</h2><p>Introducing the <strong>ECC Fruitopia Zoa Coral</strong> — a breathtaking addition to your reef aquarium that brings not only color but also a sense of life and vibrancy to your underwater landscape. This stunning coral features an array of vivid hues, making it a showstopper in any marine environment. Perfect for both beginner and experienced aquarists, the ECC Fruitopia Zoa Coral is sure to be a conversation starter.</p><h3>Why Choose ECC Fruitopia Zoa Coral?</h3><p>Every aquatic enthusiast knows the importance of having a thriving ecosystem, and with the ECC Fruitopia Zoa Coral, achieving this is easier than ever. This particular coral is known for its hardiness and adaptability, making it a suitable choice for various tank conditions.</p><p>Here are just a few reasons why you should add the ECC Fruitopia Zoa Coral to your aquarium:</p><ul>
<li>
<strong>Vibrant Colors:</strong> The stunning color palette of the ECC Fruitopia Zoa Coral can instantly transform your aquarium into a mesmerizing aquatic paradise.</li>
<li>
<strong>Easy to Care For:</strong> With minimal care requirements, even novice aquarists will find maintaining this coral a breeze.</li>
<li>
<strong>Fast Growth Rate:</strong> Enjoy a rapidly expanding and visually stunning display in your tank as the ECC Fruitopia Zoa Coral thrives.</li>
<li>
<strong>Compatible with Various Species:</strong> This coral is highly compatible with other marine life, making it an ideal choice for community reef tanks.</li>
</ul><h3>Enhance Your Aquarium's Aesthetics</h3><p>The ECC Fruitopia Zoa Coral is not just another coral; it's a statement piece that draws attention. With its eye-catching colors and flourishing appearance, it becomes a focal point in your aquarium. Aquarists who value aesthetics will appreciate how this coral stands out against the backdrop of your tank.</p><h3>Habitat and Care</h3><p>Originating from various warm-water reefs, the ECC Fruitopia Zoa Coral thrives in bright lighting conditions. However, it can also adapt to lower light environments, which makes it versatile for different setups. To ensure optimal growth, aim for a lighting system that mimics natural sunlight, promoting photosynthesis and health.</p><p>In terms of water parameters, keep the temperature between 72-78 °F and maintain a pH of 8.1 to 8.4. Proper circulation and filtration will also help in providing the clean environment these corals need to flourish.</p><h3>Nutritional Needs</h3><p>While the ECC Fruitopia Zoa Coral can benefit from the natural light it receives, providing a supplemental feeding regime can enhance its vibrancy and growth. Use high-quality coral foods to nourish your coral effectively. Look for specialized products rich in amino acids and vitamins designed for zoanthids.</p><h3>Compatibility with Other Marine Life</h3><p>One of the most appealing qualities of the ECC Fruitopia Zoa Coral is its compatibility with a wide array of reef tank inhabitants. From clownfish and tangs to shrimp and various fish species, this coral peacefully coexists with many types of marine life.</p><p>Moreover, the ECC Fruitopia Zoa Coral serves as a beautiful habitat for small aquatic creatures, enhancing the dynamic nature of your tank while ensuring optimal conditions for all marine inhabitants.</p>",Cfcorals,Animals & Pet Supplies > Pet Supplies,Soft Corals,"Aquarium Coral, ECC Fruitopia Zoa Coral, Live Coral for Reef Tanks, Zoa Coral for Sale",true,Title,Default Title,,,,,,,,C1176,5.669904625,shopify,1,deny,manual,29.00,35.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0648/9338/6825/files/ECCFruitopiaZoaAC423.jpg?v=1768834166,1,ECC Fruitopia Zoa Coral,false,ECC Fruitopia Zoa Coral - Vibrant Coral for Your Reef Aquarium,"Discover the vibrant ECC Fruitopia Zoa Coral, perfect for enhancing your reef aquarium. Add stunning color and character to your marine habitat today!",2,,,,,,,,,,,,green; orange,coral,marine-fish,saltwater,indoors,full-sun,sea-ocean; beach; nature,,oz,,11.25,active
ecc-black-bella-zoa-coral,ECC Black Bella Zoa Coral,"<h2>Discover the Stunning ECC Black Bella Zoa Coral</h2><p>Introducing the exquisite <strong>ECC Black Bella Zoa Coral</strong>, a captivating addition to any marine aquarium enthusiast's collection. This stunning coral not only enhances the aesthetic appeal of your underwater landscape but also contributes significantly to the ecological balance of your aquarium. With its vibrant colors and unique structure, the ECC Black Bella Zoa Coral is a must-have for reef enthusiasts.</p><h3>Key Features of ECC Black Bella Zoa Coral</h3><p>The ECC Black Bella Zoa Coral is known for its striking appearance and easy maintenance, making it suitable for both novice and experienced aquarium keepers. Here are some of the standout features:</p><ul>
<li>**Vibrant Coloration**: The rich black and vibrant hues create a stunning contrast, perfect for brightening up your reef tank.</li>
<li>**Easy to Care For**: This coral requires minimal attention, making it an ideal choice for those new to marine aquariums.</li>
<li>**Fast Growth Rate**: Enjoy quicker expansion and propagation, allowing you to create a fuller and more vibrant tank over time.</li>
<li>**Enhances Tank Biodiversity**: The ECC Black Bella Zoa Coral supports the overall health of your aquarium ecosystem.</li>
</ul><h3>Understanding the Ecology of the ECC Black Bella Zoa Coral</h3><p>The ecological role of the ECC Black Bella Zoa Coral is vital in maintaining a balanced environment for your fish and other marine life. By providing shelter and feeding grounds, this coral helps create a natural habitat.</p><p>These corals are photosynthetic, drawing energy from light, which makes them highly efficient for aquarists. This means that with proper lighting and care, the ECC Black Bella Zoa Coral thrives, ensuring your aquarium remains lively and colorful.</p><h3>Optimal Care Requirements</h3><p>To achieve the best growth and vibrancy from the ECC Black Bella Zoa Coral, consider the following care tips:</p><ul>
<li>**Lighting**: Ensure adequate lighting that mimics natural sunlight. LED lights are excellent for promoting coral health.</li>
<li>**Water Quality**: Keep water parameters stable, particularly salinity, temperature, and pH, to foster a healthy environment.</li>
<li>**Tank Mates**: Choose compatible tank mates to avoid aggression and stress among your aquarium inhabitants.</li>
<li>**Feeding**: While primarily photosynthetic, supplementing with coral foods can encourage growth and color enhancement.</li>
</ul>",Cfcorals,Animals & Pet Supplies > Pet Supplies,Soft Corals,"Black Zoa Coral, Coral Frags for Sale, ECC Black Bella Zoa Coral, Live Coral for Aquariums",true,Title,Default Title,,,,,,,,C1175,5.669904625,shopify,1,deny,manual,29.00,35.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0648/9338/6825/files/ECC_Black_Bella_Zoa_AC1009.jpg?v=1769294318,1,"",false,ECC Black Bella Zoa Coral - Vibrant Marine Coral for Your Aquarium,"Discover the stunning ECC Black Bella Zoa Coral, perfect for enhancing your reef tank. Vibrant colors and easy care, ideal for beginners and seasoned aquarists alike.",2,,,,,,,,,,,,brown; green,coral,marine-fish,saltwater,indoors,full-sun,sea-ocean; beach; nature,,oz,,11.25,active
ecc-bob-marley-zoa-coral,ECC Bob Marley Zoa Coral,"<h2>Discover the Vibrant Beauty of ECC Bob Marley Zoa Coral</h2><p>Introducing the <strong>ECC Bob Marley Zoa Coral</strong>, a stunning addition to your aquatic ecosystem that is sure to captivate any marine enthusiast. This exquisite coral not only enhances the aesthetic of your aquarium but also contributes positively to the health and sustainability of your marine environment.</p><p>The ECC Bob Marley Zoa Coral is known for its iconic color variation and unique patterns that resemble the legendary music of Bob Marley, bringing a vibrant flair to your tank. Easy to care for and adaptable, this coral thrives in a variety of settings, making it ideal for both beginner and experienced aquarists alike.</p><h3>Features of ECC Bob Marley Zoa Coral</h3><ul>
<li>
<strong>Stunning Visual Appeal:</strong> The vibrant colors and unique formations ensure your aquarium stands out.</li>
<li>
<strong>Easy to Maintain:</strong> This coral requires minimal upkeep, making it perfect for hobbyists at any skill level.</li>
<li>
<strong>Improves Water Quality:</strong> The ECC Bob Marley Zoa Coral naturally aids in filtration, contributing to a healthier aquatic environment.</li>
<li>
<strong>Fast Growth Rate:</strong> With the right conditions, watch your coral flourish and spread beautifully across your reef tank.</li>
</ul><h3>Benefits of Adding ECC Bob Marley Zoa Coral to Your Aquarium</h3><p>The ECC Bob Marley Zoa Coral not only serves as a captivating centerpiece in your aquarium but also plays a crucial role in creating a balanced ecosystem. Corals like these provide essential habitats for countless marine organisms while improving the overall health of your water quality.</p><p>One of the primary advantages of the ECC Bob Marley Zoa Coral is its rapid adaptability to various tank conditions. This adaptability means you can introduce this stunning specimen even if you're new to marine aquariums. Once acclimated, it will thrive under the right lighting conditions and can flourish in both reef tanks and fish-only setups.</p><h3>Care Instructions for ECC Bob Marley Zoa Coral</h3><p>Caring for your ECC Bob Marley Zoa Coral is straightforward, allowing you to enjoy its beauty without the stress of complicated maintenance routines. Here are some recommended care tips to ensure your coral stays healthy and vibrant:</p><ul>
<li>
<strong>Lighting:</strong> Ensure your coral receives moderate lighting. LED lights or intense T5 fluorescents work well and help retain the vivid colors.</li>
<li>
<strong>Water Flow:</strong> A moderate flow rate is ideal, as this helps to bring vital nutrients directly to the coral while preventing debris build-up.</li>
<li>
<strong>Nutritional Needs:</strong> Supplement feedings once a week with coral food to enhance growth and color.</li>
<li>
<strong>Water Quality:</strong> Maintain stable parameters, including a pH of 8.1-8.4 and low phosphates to ensure optimal health.</li>
</ul>",Cfcorals,Animals & Pet Supplies > Pet Supplies,Soft Corals,"Aquarium Coral Frags, ECC Bob Marley Zoa Coral, Live Coral for Reef Tank, Zoanthus Coral",true,Title,Default Title,,,,,,,,,5.669904625,shopify,1,deny,manual,29.00,35.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0648/9338/6825/files/ECCBobMarleyZoaAC7.jpg?v=1768833794,1,ECC Bob Marley Zoa Coral,false,ECC Bob Marley Zoa Coral - Vibrant Reef Aquarium Coral for Sale,"Discover the vibrant ECC Bob Marley Zoa Coral, perfect for adding stunning color to your aquarium. Enhance your underwater world with this must-have coral today!",2,,,,,,,,,,,,yellow; orange,coral,marine-fish,saltwater,indoors,full-sun,sea-ocean; beach; nature,,oz,,9.38,active
ecc-mandarian-zoa-coral,ECC Mandarian Zoa Coral,"<h2>Discover the Vibrant Beauty of ECC Mandarian Zoa Coral</h2><p>The ECC Mandarian Zoa Coral is an exquisite addition to any marine aquarium, showcasing stunning colors and intricate details that truly set it apart from other coral species. These striking corals are well-known for their speedy growth and ability to thrive in both novice and advanced reef setups. As a top choice among aquarists, the ECC Mandarian Zoa Coral beckons fish and coral enthusiasts alike to transform their underwater landscapes.</p><h3>Stunning Visual Appeal</h3><p>The ECC Mandarian Zoa Coral captivates aquarium lovers with its unique hues ranging from vibrant oranges to deep reds, complemented by eye-catching green or blue highlights. Each polyp of this coral is like a little work of art, making it a magnificent centerpiece in your reef aquarium.</p><h3>Easy Care Requirements</h3><p>One of the most appealing aspects of the ECC Mandarian Zoa Coral is its low maintenance needs. Unlike more delicate coral species, this hardy coral can adapt to a range of water conditions. With the right lighting and water flow, this coral is not just beautiful; it’s resilient.</p><ul>
<li>
<strong>Fast Growth Rate:</strong> Watch your coral thrive in a short time thanks to its robust growth habits.</li>
<li>
<strong>Color Variability:</strong> The ECC Mandarian Zoa Coral comes with mesmerizing color gradients that evolve and enhance as it grows.</li>
<li>
<strong>Compatible with Various Tank Mates:</strong> This coral harmonizes beautifully with many fish species, making it a versatile choice for diverse marine habitats.</li>
<li>
<strong>Low Light Requirements:</strong> Ideal for hobbyists with moderate lighting setups, these corals can flourish without needing high-intensity light.</li>
</ul><h3>Creating the Perfect Environment</h3><p>To ensure your ECC Mandarian Zoa Coral thrives, it's essential to create the ideal environment. These corals prefer moderate water movement and require stable water parameters. Keeping the temperature between 74°F to 78°F, with a salinity of 1.023 to 1.025 will keep your ECC Mandarian Zoa Coral vibrant and healthy.</p><h3>Nourishment and Feeding</h3><p>Your ECC Mandarian Zoa Coral will benefit from a well-rounded diet. While it primarily relies on photosynthesis through its symbiotic zooxanthellae, occasional feeding with coral food rich in phytoplankton will surely enhance its growth and coloration. Regularly providing essential nutrients will guarantee its long-term vitality.</p>",Cfcorals,Animals & Pet Supplies > Pet Supplies,Soft Corals,"ECC Mandarian Zoa Coral, Live Coral, Reef Aquariums, Zoa Coral",true,Title,Default Title,,,,,,,,C1171,5.669904625,shopify,1,deny,manual,29.00,35.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0648/9338/6825/files/ECCManderianZoaAC269.jpg?v=1768833607,1,ECC Mandarian Zoa Coral,false,ECC Mandarian Zoa Coral - Vibrant Color and Easy Care for Your Reef,"Transform your aquarium with the stunning ECC Mandarian Zoa Coral. This vibrant coral thrives in your tank, adding color and life. Perfect for reef enthusiasts. Shop now!",2,,,,,,,,,,,,yellow; orange,coral,marine-fish,saltwater,indoors,full-sun,beach; nature; sea-ocean,,oz,,11.25,active
ecc-eagle-eye-zoa-coral,ECC Eagle Eye Zoa Coral,"<h2>Discover the Beauty of ECC Eagle Eye Zoa Coral</h2><p>Elevate your aquatic paradise with the stunning <strong>ECC Eagle Eye Zoa Coral</strong>. This captivating coral is not just a visual treat, but it also contributes significantly to the health and biodiversity of your aquarium. With its vibrant colors and unique patterns, the ECC Eagle Eye Zoa Coral is perfect for both novice and experienced aquarists looking to enhance their underwater landscape.</p><h3>Stunning Aesthetic Appeal</h3><p>The <strong>ECC Eagle Eye Zoa Coral</strong> features a remarkable array of colors that are sure to draw the attention of anyone admiring your aquarium. With glowing yellow eyes and contrasting orange and green hues, this coral adds dimension and brightness to your marine setup.</p><p>Its unique coloration creates an eye-catching centerpiece, making it an ideal choice for aquarists who want to create a vibrant reef environment.</p><ul>
<li>
<strong>Vivid Colors:</strong> Each polyp boasts a striking color palette that enhances the visual appeal of your aquarium.</li>
<li>
<strong>Easy to Care For:</strong> This hardy coral is suitable for a wide range of water conditions, making it beginner-friendly.</li>
<li>
<strong>Fast Growth Rate:</strong> The ECC Eagle Eye Zoa Coral thrives under proper care and can quickly become a focal point in your tank.</li>
<li>
<strong>Enhances Biodiversity:</strong> Zoanthid corals, like the ECC Eagle Eye, contribute to a healthy aquarium ecosystem by providing shelter and food for various marine species.</li>
</ul><h3>Care Requirements</h3><p>Caring for the ECC Eagle Eye Zoa Coral is relatively straightforward. These corals thrive in conditions that mimic their natural environments. Here are some essential care tips:</p><ul>
<li>
<strong>Lighting:</strong> Moderate lighting is best for the ECC Eagle Eye Zoa. Avoid extremely bright or direct lights to prevent bleaching.</li>
<li>
<strong>Water Flow:</strong> A gentle to moderate water flow is ideal. Too much current can damage the delicate polyps.</li>
<li>
<strong>Feeding:</strong> While these corals can photosynthesize through their symbiotic algae, providing occasional feeding with zooplankton or coral-specific food can enhance their growth.</li>
</ul>",Cfcorals,Animals & Pet Supplies > Pet Supplies,Soft Corals,"Bright Zoanthid Coral, ECC Eagle Eye Zoa Coral, Live Coral for Reef Tanks, Zoa Coral for Sale",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,29.00,35.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0648/9338/6825/files/ECCEagleEyeZoaAC202.jpg?v=1768833424,1,ECC Eagle Eye Zoa Coral,false,ECC Eagle Eye Zoa Coral - Vibrant Zoanthids for Your Reef Aquarium,"Meta description: Discover the vibrant ECC Eagle Eye Zoa Coral, perfect for enhancing your aquarium. Its stunning colors and hardy nature make it a must-have for coral enthusiasts!",2,,,,,,,,,,,,orange; yellow,coral,marine-fish,saltwater,indoors,full-sun,nature; beach; sea-ocean,,oz,,9.38,active
